pair,pvalue,cointegrated
"('WBD', 'AAPL')",0.0008682843463823469,True
"('WBD', 'JBL')",0.0008687344631711997,True
"('GNRC', 'COHR')",0.0008695340781455251,True
"('ECL', 'PCG')",0.0008715875122144479,True
"('NEE', 'FSLR')",0.0008759629791209063,True
"('FIX', 'CTVA')",0.0008772235240517127,True
"('CNP', 'BAX')",0.0008796572157303672,True
"('COP', 'J')",0.0008799786869934342,True
"('TJX', 'WMB')",0.0008819461510093575,True
"('SRE', 'IFF')",0.0008838555264978634,True
"('WBD', 'CASY')",0.0008846237256524692,True
"('TMO', 'HSIC')",0.0008887891566879635,True
"('VLO', 'TPL')",0.0008889801183210342,True
"('COST', 'CTAS')",0.000889593666563872,True
"('WBD', 'UPS')",0.0008898452654842331,True
"('WY', 'SWK')",0.0008910973244156514,True
"('ANET', 'PFE')",0.0008928891085556627,True
"('VST', 'WYNN')",0.0008979631943795389,True
"('CB', 'FSLR')",0.000903230806004327,True
"('WBD', 'DGX')",0.000906464240831863,True
"('IVZ', 'VICI')",0.0009065548709600757,True
"('ECL', 'FISV')",0.0009075796648868643,True
"('CHTR', 'ED')",0.0009083368515691939,True
"('ROP', 'PFE')",0.0009141645732811849,True
"('CDNS', 'LIN')",0.0009158453044654612,True
"('LVS', 'WEC')",0.0009161417864582711,True
"('SRE', 'PPL')",0.0009166113126130388,True
"('PPG', 'PCG')",0.0009175607826879222,True
"('MCHP', 'ITW')",0.0009177064769755551,True
"('ARE', 'STT')",0.0009185945441880026,True
"('DD', 'CI')",0.0009221993843046674,True
"('WDAY', 'AMAT')",0.0009230060008479201,True
"('CSCO', 'SBUX')",0.0009248476198159405,True
"('RVTY', 'CHRW')",0.0009347251954135327,True
"('IT', 'HLT')",0.0009458902293194734,True
"('MTD', 'JBL')",0.000946241697915679,True
"('AMZN', 'GE')",0.0009462962042862651,True
"('UDR', 'BAX')",0.0009539430175203484,True
"('UBER', 'NTAP')",0.0009555886111396474,True
"('PSKY', 'GOOG')",0.0009614568606266268,True
"('PSX', 'BX')",0.0009652251696563095,True
"('RCL', 'LRCX')",0.0009682045029274665,True
"('TSN', 'INCY')",0.0009692603562965466,True
"('MTB', 'CRL')",0.0009726139525785234,True
"('BEN', 'CRL')",0.000973251321628966,True
"('NOW', 'AVGO')",0.0009827486927948082,True
"('CTVA', 'SNPS')",0.0009871592335811178,True
